name,model,score,std_score,precision,recall,f1,feature_selection_method,k-mer,feature
GaussianProcessClassifier,GaussianProcessClassifier(kernel=1**2 * RBF(length_scale=1)),0.9026315789473683,0.024404259198672902,0.9057758143080653,0.9312896405919663,0.9164112046266328,No,7,ALL
GaussianProcessClassifier,GaussianProcessClassifier(kernel=1**2 * RBF(length_scale=1)),0.9026315789473683,0.024404259198672902,0.9057758143080653,0.9312896405919663,0.9164112046266328,No,7,ALL
RandomForestClassifier,"RandomForestClassifier(max_depth=64, max_features=8, n_estimators=200)",0.7526315789473684,0.04663169775439301,0.7254076513166862,0.9221987315010571,0.8107581383043353,No,7,ALL
AdaBoostClassifier,AdaBoostClassifier(n_estimators=200),0.868421052631579,0.04707511531578503,0.9252037752037751,0.8393234672304442,0.8788765212816397,No,7,ALL
GaussianNB,GaussianNB(),0.6368421052631579,0.02953940042189956,0.6134171669825561,0.9954545454545455,0.758949268377186,No,7,ALL
GaussianProcessClassifier,GaussianProcessClassifier(kernel=1**2 * RBF(length_scale=1)),0.9026315789473683,0.024404259198672902,0.9057758143080653,0.9312896405919663,0.9164112046266328,Variance-based(1),7,ALL
RandomForestClassifier,"RandomForestClassifier(max_depth=64, max_features=8, n_estimators=200)",0.7789473684210526,0.045883146774112364,0.7376303780964798,0.9634249471458775,0.834041394335512,Variance-based(1),7,ALL
AdaBoostClassifier,AdaBoostClassifier(n_estimators=200),0.868421052631579,0.04707511531578503,0.9252037752037751,0.8393234672304442,0.8788765212816397,Variance-based(1),7,ALL
GaussianNB,GaussianNB(),0.6368421052631579,0.02953940042189956,0.6134171669825561,0.9954545454545455,0.758949268377186,Variance-based(1),7,ALL
GaussianProcessClassifier,GaussianProcessClassifier(kernel=1**2 * RBF(length_scale=1)),0.968421052631579,0.019692933614599673,0.9768401624215578,0.9678646934460888,0.9722497192203787,FTest,7,[ True  True  True ...  True  True  True]
RandomForestClassifier,"RandomForestClassifier(max_depth=64, max_features=8, n_estimators=200)",0.9105263157894736,0.01933807691670931,0.8936359338061465,0.9587737843551796,0.9246622572847769,FTest,7,[ True  True  True ...  True  True  True]
AdaBoostClassifier,AdaBoostClassifier(n_estimators=200),0.8973684210526317,0.03849668115349418,0.9207390800414055,0.899260042283298,0.909318255683227,FTest,7,[ True  True  True ...  True  True  True]
GaussianNB,GaussianNB(),0.7657894736842106,0.0548228069894728,0.7158505148335657,0.9908033826638478,0.8302602580505047,FTest,7,[ True  True  True ...  True  True  True]
GaussianProcessClassifier,GaussianProcessClassifier(kernel=1**2 * RBF(length_scale=1)),0.9052631578947368,0.03665365336101083,0.9032136425159681,0.9404862579281182,0.9198125018032292,RandomForest,7,[ True  True  True ...  True  True  True]
RandomForestClassifier,"RandomForestClassifier(max_depth=64, max_features=8, n_estimators=200)",0.8368421052631578,0.03390552296506612,0.8076569336207793,0.9451374207188161,0.8697631737126829,RandomForest,7,[ True  True  True ...  True  True  True]
AdaBoostClassifier,AdaBoostClassifier(n_estimators=200),0.868421052631579,0.03990987075816605,0.9013213530655391,0.86723044397463,0.8836089063028899,RandomForest,7,[ True  True  True ...  True  True  True]
GaussianNB,GaussianNB(),0.7842105263157895,0.022941573387056182,0.766208702348864,0.8990486257928119,0.8271428508917789,RandomForest,7,[ True  True  True ...  True  True  True]
